date,time_bst,requester,contract,request_type,notes
2026-02-25,18:00,Camilla,Pinterest,Prioritisation,"Prioritise Pinterest DPA and security exhibit in Juro this week; customer offered to use Granola platform terms in return"
2026-03-11,09:26,Fola,Customer.io,Guidance,"Sought view on $2M supercap / 24hr breach notice / 20-day sub-processor window. Target signature date 17 Mar. $36k deal / 100 seats"
2026-03-11,10:31,Fola,Customer.io,Guidance,"Follow-up: items 1 & 2 resolved with Michael/Camilla. Asked Elaine to weigh in on supercap (pt 3) before next-day call"
2026-03-11,18:38,Fola,Juro (tooling),Tooling issue,"Invited Elaine to Juro workshop; cc'd to surface issues — file name not updating / comments visibility / adding signatories"
2026-03-11,22:21,Fola,Customer.io,Prioritisation,"Flagged for Elaine before next morning's Customer.io call"
2026-03-12,15:37,Fola,Customer.io,Prioritisation,"Confirmed aligned and good to go after Elaine's Juro update (Elaine had noted a delay due to another urgent deal)"
2026-03-13,10:38,Fola,PostHog,Guidance,"Asked Elaine to draft language protecting PostHog data from being shared with Amplitude (a PostHog competitor used by Granola)"
2026-03-17,16:57,Ryan,Justworks,Prioritisation,"Of the items in the legal queue could we please prioritize Justworks ($144k) first"
2026-03-18,20:52,Camilla,Checkr,Prioritisation,"Can you prioritise looking at the Checkr contract please and thank you! Elaine: working on Meta first, will turn to it ASAP"
2026-03-19,13:02,Camilla,DPA (template),Admin / Template,"Flagged incorrect model training clause in enterprise template — Business vs Enterprise opt-in/out logic was wrong; asked Elaine to revise template"
2026-03-19,17:14,Ryan,Justworks / Checkr,Prioritisation,"Re-prioritised queue after internal sync: Justworks first then Checkr. Elaine confirmed: got it"
2026-03-23,13:54,Camilla,EOQ sprint (8 deals),Prioritisation,"Full priority list: PandaDoc ($80k) / Justworks ($144k) / 9Fin ($50k) / G2 ($60k) / NEA ($20k) / PostHog ($37k) / K1 ($29k) / Charlesbank ($25k). ~$500k from stretch target"
2026-03-24,08:01,Fola,Juro (tooling),Tooling issue,"Elaine reported Juro upload/download broken. Fola investigated and escalated to Juro eng; resolved same morning"
2026-03-24,14:30,Ryan,Justworks,Legal call,"Asked if Elaine available 7:30am or 10am next day for call with Justworks legal team. Elaine said working on it now — lots of redlines but able to accept most"
2026-03-24,16:05,Fola,9Fin,Prioritisation,"Pricing agreed commercially. Asked if final redline draft could go back today; if not flag so customer expectations can be managed"
2026-03-25,17:56,Doug,Model training clause,Guidance,"Asked Elaine to parse whether customer concern was about deidentified data broadly vs AI training specifically — to inform template revision. Elaine: principally the latter"
2026-03-28,06:20,Ernesto,Alphasense MNDA,Prioritisation,"Asked Elaine to look at Alphasense MNDA after the EOQ MSA rush cleared"
2026-03-30,15:06,Ryan,a16z (renewal),Prioritisation,"Is it possible to look at a16z today — renewal is on April 1. Submitted on behalf of Nick T. Elaine: Yes!"
2026-03-30,15:09,Ernesto,EF,Prioritisation,"Two minor redlines; tracking to sign next day. Asked to prioritise alongside a16z. Elaine: Got it"
2026-03-30,20:12,Palmer,Docker,Guidance,"Order form to be subservient to Docker's existing MSA/terms. Needed Elaine to check if approach was correct. Elaine: will get to it later today"
2026-03-31,20:33,Ernesto,Bain MNDA,Prioritisation,"Customer following up asking when Granola will sign. Now that EOQ MSAs are done — can Elaine prioritise and advise sign-as-is or redline? Elaine: working on an MSA for Fola now will do next"
2026-04-01,19:27,Palmer,Red Ventures,Guidance,"Shared previous redlines for rider/master MSA covering 3 order forms: RV Home (50 users) / The Points Guy (22 users) / Lonely Planet (1 user)"
2026-04-01,19:32,Bob,Astronomer,Guidance,"Asked Elaine to assess whether Astronomer's security redlines were unreasonable or if compromise was possible — security cited as major deal blocker. Elaine followed up with context of prior exchange"
2026-04-02,15:13,Palmer,Red Ventures,Guidance,"Asked whether Elaine needed a decision from Bardia/Michael on Section 9.1 in order to proceed"
